Grupo de edad,Sexo,Etapa clinica,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-05-01,2020-05-02,2020-05-04,2020-05-06,2020-05-08,2020-05-11,2020-05-15,2020-05-18,2020-05-22,2020-05-25,2020-05-29,2020-06-01,2020-06-05,2020-06-08,2020-06-12,2020-06-15,2020-06-19,2020-06-23,2020-06-28,2020-07-01,2020-07-05,2020-07-10,2020-07-13,2020-07-17,2020-07-24,2020-07-27,2020-07-31,2020-08-03,2020-08-07,2020-08-10,2020-08-14,2020-08-17,2020-08-21,2020-08-24,2020-08-28,2020-08-31,2020-09-04,2020-09-07,2020-09-11,2020-09-14,2020-09-18,2020-09-21,2020-09-25,2020-09-28,2020-10-02,2020-10-05,2020-10-09,2020-10-12,2020-10-16,2020-10-19,2020-10-24,2020-10-26,2020-10-30,2020-11-02,2020-11-06,2020-11-09,2020-11-13,2020-11-16,2020-11-20,2020-11-23,2020-11-27,2020-11-30,2020-12-04,2020-12-07,2020-12-11,2020-12-14,2020-12-18,2020-12-21,2020-12-25,2020-12-28,2021-01-01,2021-01-04,2021-01-08,2021-01-11,2021-01-15,2021-01-18,2021-01-22,2021-01-25,2021-01-29,2021-02-01,2021-02-05,2021-02-08,2021-02-12,2021-02-15,2021-02-19,2021-02-22,2021-02-26,2021-03-01,2021-03-05,2021-03-08,2021-03-12,2021-03-15,2021-03-19,2021-03-22,2021-03-26,2021-03-29,2021-04-02,2021-04-05,2021-04-09,2021-04-12,2021-04-16,2021-04-19,2021-04-23,2021-04-26,2021-04-30,2021-05-03,2021-05-07,2021-05-10,2021-05-14,2021-05-17,2021-05-21,2021-05-24,2021-05-28,2021-05-31,2021-06-04,2021-06-07,2021-06-11,2021-06-14,2021-06-18,2021-06-21,2021-06-25,2021-06-28,2021-07-02,2021-07-05,2021-07-09
00 - 04 años,M,,4.0,5.0,5.0,5.0,5.0,5.0,6.0,7.0,7.0,8.0,10.0,9.0,11.0,12.0,18.0,22.0,30.0,37.0,39.0,38.0,41.0,46.0,49.0,52.0,61.0,65.0,66.0,75.0,83.0,88.0,93.0,100.0,106.0,111.0,124.0,157.0,177.0,201.0,233.0,277.0,334.0,468.0,543.0,725.0,866.0,1028.0,1121.0,1274.0,1378.0,1535.0,1651.0,2058.0,2302.0,2565.0,2673.0,2848.0,3022.0,3132.0,3240.0,3392.0,3473.0,3564.0,3651.0,3792.0,3917.0,4042.0,4133.0,4244.0,4337.0,4461.0,4567.0,4704.0,4784.0,4915.0,5001.0,5120.0,5193.0,5303.0,5403.0,5552.0,5552.0,5733.0,5823.0,5913.0,6003.0,6143.0,6196.0,6290.0,6361.0,6458.0,6535.0,6644.0,6716.0,6811.0,6881.0,6959.0,7027.0,7122.0,7192.0,7262.0,7344.0,7455.0,7539.0,7651.0,7714.0,7838.0,7931.0,8069.0,8194.0,8355.0,8487.0,8701.0,8847.0,8994.0,9120.0,9290.0,9404.0,9551.0,9683.0,9847.0,9968.0,10158.0,10307.0,10546.0,10735.0,10972.0,11198.0,11539.0,11805.0,12170.0,12459.0,12840.0,13086.0,13621.0,13916.0,14382.0,14680.0,15129.0,15440.0,15871.0,16178.0,16545.0,16838.0,17227.0,17567.0,18049.0,18367.0,18861.0,19218.0,19688.0,20061.0,20504.0,20855.0,21306.0,21611.0,21920.0,22179.0,22423.0,22596.0,
05 - 09 años,M,,2.0,2.0,2.0,4.0,4.0,4.0,4.0,7.0,7.0,9.0,10.0,11.0,13.0,14.0,17.0,18.0,20.0,27.0,27.0,27.0,29.0,32.0,35.0,38.0,42.0,44.0,45.0,52.0,58.0,61.0,66.0,71.0,80.0,81.0,89.0,115.0,126.0,143.0,173.0,194.0,244.0,347.0,410.0,540.0,631.0,742.0,820.0,932.0,1009.0,1104.0,1200.0,1573.0,1772.0,1981.0,2072.0,2210.0,2374.0,2489.0,2604.0,2733.0,2805.0,2887.0,2966.0,3105.0,3220.0,3320.0,3400.0,3495.0,3582.0,3705.0,3790.0,3899.0,3993.0,4122.0,4226.0,4341.0,4403.0,4538.0,4644.0,4762.0,4762.0,4996.0,5075.0,5175.0,5258.0,5384.0,5429.0,5535.0,5619.0,5698.0,5767.0,5853.0,5940.0,6029.0,6100.0,6183.0,6273.0,6369.0,6445.0,6519.0,6600.0,6703.0,6793.0,6918.0,6988.0,7129.0,7235.0,7398.0,7570.0,7781.0,7937.0,8152.0,8297.0,8514.0,8686.0,8847.0,8999.0,9156.0,9310.0,9464.0,9633.0,9856.0,10039.0,10290.0,10515.0,10851.0,11064.0,11436.0,11751.0,12146.0,12501.0,12984.0,13326.0,13892.0,14327.0,14868.0,15295.0,15813.0,16198.0,16705.0,17082.0,17554.0,17906.0,18337.0,18699.0,19240.0,19594.0,20165.0,20602.0,21150.0,21618.0,22156.0,22571.0,23087.0,23431.0,23786.0,24093.0,24350.0,24577.0,
10 - 14 años,M,,7.0,8.0,8.0,10.0,10.0,10.0,10.0,12.0,12.0,13.0,16.0,21.0,23.0,23.0,31.0,34.0,37.0,40.0,46.0,51.0,53.0,57.0,65.0,71.0,81.0,86.0,90.0,96.0,101.0,105.0,108.0,114.0,119.0,125.0,133.0,159.0,173.0,197.0,228.0,247.0,294.0,412.0,490.0,612.0,714.0,840.0,948.0,1078.0,1176.0,1315.0,1420.0,1851.0,2054.0,2307.0,2367.0,2517.0,2731.0,2860.0,2979.0,3157.0,3224.0,3295.0,3361.0,3512.0,3623.0,3779.0,3884.0,3998.0,4089.0,4215.0,4317.0,4430.0,4524.0,4646.0,4775.0,4922.0,5023.0,5161.0,5298.0,5451.0,5451.0,5674.0,5776.0,5880.0,5987.0,6142.0,6197.0,6300.0,6397.0,6492.0,6581.0,6690.0,6781.0,6870.0,6972.0,7082.0,7186.0,7294.0,7387.0,7506.0,7609.0,7732.0,7845.0,7980.0,8083.0,8256.0,8399.0,8625.0,8852.0,9109.0,9325.0,9604.0,9831.0,10100.0,10347.0,10556.0,10760.0,10980.0,11157.0,11373.0,11579.0,11888.0,12137.0,12475.0,12811.0,13239.0,13557.0,14108.0,14508.0,15081.0,15641.0,16243.0,16690.0,17423.0,17949.0,18702.0,19263.0,19916.0,20423.0,21129.0,21596.0,22188.0,22688.0,23312.0,23795.0,24504.0,24975.0,25711.0,26298.0,27078.0,27692.0,28422.0,28983.0,29681.0,30147.0,30631.0,31041.0,31427.0,31732.0,
15 - 19 años,M,,8.0,9.0,13.0,16.0,17.0,18.0,22.0,26.0,27.0,34.0,37.0,42.0,50.0,52.0,56.0,60.0,65.0,69.0,73.0,77.0,79.0,86.0,96.0,103.0,109.0,113.0,116.0,118.0,126.0,136.0,139.0,153.0,164.0,175.0,185.0,222.0,243.0,279.0,324.0,370.0,453.0,626.0,743.0,964.0,1133.0,1358.0,1552.0,1776.0,1976.0,2237.0,2455.0,3286.0,3640.0,4088.0,4235.0,4547.0,4837.0,5016.0,5219.0,5467.0,5610.0,5743.0,5841.0,6059.0,6230.0,6396.0,6537.0,6706.0,6879.0,7046.0,7188.0,7363.0,7557.0,7743.0,7899.0,8066.0,8186.0,8356.0,8535.0,8727.0,8727.0,9161.0,9319.0,9486.0,9619.0,9842.0,9942.0,10076.0,10217.0,10363.0,10495.0,10650.0,10783.0,10939.0,11060.0,11232.0,11383.0,11566.0,11682.0,11846.0,12023.0,12250.0,12416.0,12670.0,12842.0,13163.0,13401.0,13801.0,14210.0,14665.0,15023.0,15479.0,15871.0,16335.0,16691.0,17104.0,17434.0,17829.0,18167.0,18537.0,18870.0,19410.0,19825.0,20401.0,20915.0,21620.0,22171.0,22919.0,23554.0,24364.0,25101.0,26014.0,26603.0,27632.0,28339.0,29388.0,30153.0,31092.0,31821.0,32787.0,33499.0,34413.0,35082.0,35897.0,36620.0,37550.0,38288.0,39346.0,40240.0,41421.0,42317.0,43391.0,44284.0,45275.0,46039.0,46740.0,47290.0,47814.0,48181.0,
20 - 24 años,M,,25.0,32.0,35.0,46.0,52.0,58.0,64.0,72.0,84.0,99.0,118.0,125.0,138.0,145.0,175.0,192.0,209.0,235.0,243.0,252.0,274.0,290.0,309.0,327.0,343.0,353.0,368.0,386.0,399.0,419.0,436.0,452.0,473.0,492.0,523.0,640.0,720.0,809.0,907.0,1045.0,1219.0,1583.0,1864.0,2487.0,2967.0,3644.0,4255.0,4908.0,5531.0,6381.0,7089.0,9355.0,10344.0,11420.0,11824.0,12487.0,13089.0,13505.0,13911.0,14493.0,14735.0,15055.0,15259.0,15711.0,16041.0,16431.0,16683.0,16966.0,17222.0,17551.0,17841.0,18194.0,18486.0,18819.0,19146.0,19474.0,19664.0,19989.0,20310.0,20648.0,20648.0,21188.0,21440.0,21703.0,21929.0,22273.0,22430.0,22706.0,22927.0,23201.0,23433.0,23744.0,23949.0,24242.0,24462.0,24684.0,24931.0,25198.0,25463.0,25745.0,26016.0,26430.0,26762.0,27178.0,27467.0,28010.0,28371.0,29013.0,29670.0,30445.0,31099.0,31924.0,32582.0,33376.0,34022.0,34661.0,35125.0,35793.0,36301.0,36898.0,37421.0,38276.0,39006.0,39988.0,40836.0,42080.0,43006.0,44393.0,45562.0,46991.0,48180.0,49838.0,50974.0,52688.0,53934.0,55603.0,56919.0,58485.0,59680.0,61276.0,62255.0,63535.0,64515.0,65914.0,67061.0,68573.0,69721.0,71378.0,72843.0,74575.0,75960.0,77555.0,78928.0,80389.0,81416.0,82376.0,83172.0,83869.0,84397.0,
25 - 29 años,M,,61.0,75.0,87.0,100.0,107.0,116.0,128.0,147.0,154.0,187.0,222.0,236.0,252.0,268.0,312.0,332.0,366.0,389.0,409.0,434.0,457.0,486.0,519.0,558.0,577.0,596.0,613.0,635.0,672.0,715.0,745.0,790.0,823.0,855.0,892.0,1102.0,1232.0,1390.0,1564.0,1747.0,2058.0,2692.0,3118.0,4211.0,4996.0,6131.0,7069.0,8170.0,9264.0,10740.0,11878.0,15283.0,16776.0,18389.0,19034.0,20041.0,20984.0,21603.0,22215.0,23090.0,23482.0,23905.0,24255.0,24871.0,25323.0,25831.0,26192.0,26639.0,27031.0,27518.0,27895.0,28383.0,28786.0,29248.0,29664.0,30089.0,30372.0,30820.0,31216.0,31711.0,31711.0,32428.0,32763.0,33111.0,33449.0,33949.0,34141.0,34499.0,34754.0,35118.0,35402.0,35744.0,36028.0,36349.0,36634.0,37020.0,37374.0,37755.0,38078.0,38484.0,38896.0,39384.0,39791.0,40370.0,40734.0,41434.0,41935.0,42814.0,43620.0,44685.0,45495.0,46602.0,47419.0,48431.0,49122.0,49972.0,50639.0,51466.0,52189.0,52937.0,53622.0,54631.0,55476.0,56690.0,57741.0,59276.0,60471.0,62203.0,63581.0,65461.0,66959.0,69017.0,70485.0,72618.0,74177.0,76186.0,77797.0,79735.0,81196.0,83103.0,84393.0,86057.0,87263.0,88920.0,90245.0,92188.0,93478.0,95577.0,97266.0,99449.0,101206.0,103369.0,104901.0,106534.0,107695.0,108775.0,109637.0,110415.0,110980.0,
30 - 34 años,M,,88.0,106.0,115.0,137.0,139.0,149.0,170.0,188.0,199.0,226.0,251.0,274.0,295.0,310.0,353.0,372.0,405.0,431.0,440.0,469.0,494.0,526.0,552.0,578.0,608.0,625.0,646.0,669.0,693.0,736.0,763.0,803.0,834.0,857.0,910.0,1101.0,1201.0,1376.0,1553.0,1807.0,2102.0,2820.0,3258.0,4409.0,5229.0,6393.0,7309.0,8491.0,9614.0,11057.0,12240.0,15456.0,17023.0,18717.0,19378.0,20423.0,21431.0,22065.0,22712.0,23627.0,24063.0,24505.0,24845.0,25428.0,25881.0,26389.0,26762.0,27182.0,27543.0,28018.0,28375.0,28844.0,29229.0,29658.0,30051.0,30475.0,30717.0,31179.0,31562.0,32012.0,32012.0,32709.0,32979.0,33315.0,33654.0,34133.0,34338.0,34663.0,34923.0,35294.0,35577.0,35943.0,36247.0,36579.0,36881.0,37202.0,37589.0,37943.0,38279.0,38641.0,39000.0,39470.0,39874.0,40456.0,40869.0,41596.0,42074.0,42936.0,43768.0,44812.0,45609.0,46747.0,47602.0,48617.0,49346.0,50201.0,50889.0,51743.0,52371.0,53224.0,53911.0,54942.0,55752.0,57048.0,58061.0,59654.0,60808.0,62487.0,63820.0,65728.0,67228.0,69326.0,70766.0,72924.0,74509.0,76685.0,78289.0,80254.0,81708.0,83566.0,84783.0,86479.0,87753.0,89401.0,90771.0,92639.0,93990.0,96020.0,97612.0,99914.0,101672.0,103674.0,105121.0,106742.0,107861.0,108945.0,109811.0,110605.0,111188.0,
35 - 39 años,M,,72.0,86.0,96.0,119.0,133.0,142.0,158.0,174.0,185.0,213.0,234.0,251.0,263.0,276.0,324.0,340.0,372.0,384.0,399.0,423.0,438.0,461.0,494.0,520.0,543.0,567.0,584.0,604.0,632.0,656.0,675.0,707.0,735.0,755.0,788.0,950.0,1032.0,1168.0,1337.0,1506.0,1766.0,2325.0,2697.0,3590.0,4361.0,5264.0,6016.0,7034.0,8000.0,9147.0,10176.0,12873.0,14139.0,15565.0,16139.0,16979.0,17815.0,18292.0,18754.0,19530.0,19819.0,20206.0,20473.0,20929.0,21290.0,21690.0,21985.0,22299.0,22568.0,22901.0,23221.0,23581.0,23883.0,24267.0,24586.0,24938.0,25160.0,25525.0,25828.0,26170.0,26170.0,26726.0,27004.0,27274.0,27544.0,27941.0,28085.0,28373.0,28608.0,28915.0,29150.0,29412.0,29667.0,29924.0,30167.0,30474.0,30777.0,31071.0,31336.0,31676.0,32033.0,32427.0,32733.0,33196.0,33496.0,34115.0,34514.0,35236.0,35904.0,36754.0,37381.0,38240.0,38919.0,39781.0,40394.0,41093.0,41668.0,42400.0,42965.0,43635.0,44180.0,45006.0,45672.0,46678.0,47480.0,48665.0,49675.0,51113.0,52201.0,53752.0,54987.0,56696.0,57842.0,59653.0,60938.0,62635.0,63923.0,65521.0,66675.0,68198.0,69176.0,70569.0,71571.0,72920.0,73984.0,75533.0,76675.0,78431.0,79714.0,81436.0,82816.0,84488.0,85670.0,87029.0,87957.0,88837.0,89525.0,90120.0,90569.0,
40 - 44 años,M,,62.0,71.0,82.0,97.0,112.0,125.0,141.0,157.0,164.0,188.0,202.0,220.0,234.0,246.0,284.0,308.0,327.0,338.0,358.0,387.0,393.0,415.0,437.0,455.0,467.0,484.0,502.0,524.0,550.0,575.0,587.0,618.0,637.0,662.0,696.0,830.0,895.0,991.0,1125.0,1272.0,1481.0,1947.0,2259.0,2963.0,3598.0,4336.0,5006.0,5810.0,6615.0,7586.0,8427.0,10562.0,11641.0,12870.0,13351.0,14126.0,14831.0,15269.0,15730.0,16399.0,16655.0,16984.0,17231.0,17619.0,17946.0,18286.0,18531.0,18845.0,19095.0,19422.0,19680.0,20005.0,20229.0,20524.0,20795.0,21103.0,21267.0,21580.0,21841.0,22148.0,22148.0,22667.0,22906.0,23142.0,23384.0,23714.0,23842.0,24073.0,24243.0,24451.0,24645.0,24906.0,25074.0,25317.0,25495.0,25733.0,25992.0,26282.0,26488.0,26730.0,27010.0,27358.0,27611.0,28003.0,28269.0,28742.0,29059.0,29629.0,30132.0,30834.0,31402.0,32144.0,32697.0,33434.0,33982.0,34582.0,35060.0,35665.0,36156.0,36720.0,37177.0,37845.0,38419.0,39283.0,39970.0,40984.0,41758.0,42890.0,43839.0,45156.0,46177.0,47596.0,48618.0,50102.0,51194.0,52682.0,53815.0,55173.0,56127.0,57448.0,58251.0,59432.0,60247.0,61352.0,62232.0,63538.0,64420.0,65839.0,66840.0,68288.0,69388.0,70749.0,71706.0,72802.0,73535.0,74263.0,74832.0,75380.0,75802.0,
45 - 49 años,M,,47.0,55.0,69.0,86.0,95.0,108.0,125.0,139.0,151.0,171.0,192.0,206.0,221.0,234.0,274.0,289.0,303.0,326.0,342.0,357.0,363.0,386.0,407.0,432.0,446.0,461.0,481.0,489.0,506.0,535.0,559.0,580.0,596.0,609.0,632.0,769.0,839.0,923.0,1013.0,1177.0,1357.0,1791.0,2101.0,2845.0,3405.0,4143.0,4790.0,5583.0,6348.0,7305.0,8146.0,10289.0,11327.0,12469.0,12923.0,13692.0,14412.0,14857.0,15297.0,15952.0,16245.0,16603.0,16846.0,17240.0,17550.0,17929.0,18166.0,18439.0,18692.0,18969.0,19190.0,19525.0,19790.0,20108.0,20393.0,20670.0,20872.0,21182.0,21425.0,21740.0,21740.0,22173.0,22372.0,22618.0,22853.0,23197.0,23317.0,23540.0,23737.0,23951.0,24150.0,24348.0,24532.0,24763.0,24934.0,25188.0,25425.0,25674.0,25901.0,26166.0,26453.0,26775.0,27038.0,27397.0,27661.0,28135.0,28442.0,29045.0,29582.0,30229.0,30827.0,31582.0,32181.0,32866.0,33415.0,34039.0,34526.0,35123.0,35588.0,36121.0,36556.0,37191.0,37752.0,38613.0,39258.0,40267.0,41033.0,42215.0,43117.0,44445.0,45475.0,46864.0,47903.0,49377.0,50353.0,51817.0,52919.0,54233.0,55193.0,56405.0,57188.0,58202.0,58895.0,59849.0,60607.0,61655.0,62378.0,63440.0,64293.0,65456.0,66296.0,67353.0,68136.0,69078.0,69694.0,70361.0,70857.0,71344.0,71726.0,
50 - 54 años,M,,28.0,45.0,53.0,72.0,74.0,83.0,95.0,117.0,124.0,142.0,158.0,170.0,180.0,190.0,220.0,234.0,259.0,270.0,284.0,308.0,323.0,337.0,363.0,376.0,393.0,403.0,416.0,427.0,450.0,476.0,485.0,514.0,538.0,549.0,566.0,678.0,733.0,840.0,951.0,1082.0,1242.0,1638.0,1918.0,2643.0,3157.0,3837.0,4458.0,5240.0,5980.0,6926.0,7772.0,9839.0,10867.0,11944.0,12376.0,13105.0,13736.0,14132.0,14529.0,15162.0,15450.0,15790.0,16047.0,16388.0,16692.0,17037.0,17255.0,17532.0,17766.0,18064.0,18318.0,18611.0,18895.0,19176.0,19441.0,19709.0,19894.0,20176.0,20398.0,20699.0,20699.0,21201.0,21397.0,21624.0,21811.0,22090.0,22206.0,22431.0,22611.0,22829.0,23007.0,23210.0,23409.0,23649.0,23826.0,24053.0,24290.0,24559.0,24759.0,25022.0,25267.0,25585.0,25846.0,26222.0,26452.0,26914.0,27182.0,27716.0,28239.0,28906.0,29412.0,30120.0,30649.0,31343.0,31879.0,32466.0,32925.0,33516.0,33938.0,34515.0,34960.0,35622.0,36132.0,36902.0,37490.0,38447.0,39200.0,40289.0,41158.0,42323.0,43271.0,44512.0,45413.0,46813.0,47795.0,49121.0,50166.0,51286.0,52110.0,53102.0,53718.0,54551.0,55177.0,55940.0,56538.0,57298.0,57878.0,58777.0,59408.0,60242.0,60956.0,61868.0,62508.0,63349.0,63964.0,64521.0,65003.0,65434.0,65770.0,
55 - 59 años,M,,30.0,34.0,44.0,58.0,69.0,76.0,86.0,107.0,116.0,130.0,139.0,148.0,159.0,170.0,197.0,216.0,232.0,245.0,258.0,268.0,275.0,295.0,319.0,336.0,356.0,362.0,375.0,387.0,405.0,424.0,441.0,460.0,479.0,493.0,516.0,619.0,677.0,746.0,841.0,956.0,1115.0,1460.0,1710.0,2292.0,2775.0,3472.0,4083.0,4761.0,5436.0,6342.0,7244.0,9217.0,10188.0,11169.0,11605.0,12326.0,12947.0,13291.0,13650.0,14247.0,14505.0,14816.0,15071.0,15420.0,15706.0,16016.0,16235.0,16478.0,16700.0,16996.0,17225.0,17511.0,17750.0,18028.0,18250.0,18526.0,18707.0,18976.0,19226.0,19514.0,19514.0,19929.0,20144.0,20366.0,20550.0,20846.0,20947.0,21153.0,21334.0,21545.0,21732.0,21912.0,22113.0,22340.0,22513.0,22718.0,22917.0,23141.0,23355.0,23590.0,23812.0,24130.0,24383.0,24720.0,24963.0,25382.0,25649.0,26132.0,26549.0,27186.0,27713.0,28376.0,28876.0,29544.0,30042.0,30637.0,31076.0,31621.0,32051.0,32553.0,32955.0,33530.0,34020.0,34739.0,35361.0,36192.0,36908.0,37891.0,38720.0,39831.0,40717.0,41914.0,42758.0,44029.0,44916.0,46158.0,47017.0,48050.0,48740.0,49665.0,50264.0,50947.0,51437.0,52061.0,52568.0,53245.0,53780.0,54525.0,55095.0,55864.0,56552.0,57417.0,58046.0,58809.0,59343.0,59869.0,60313.0,60726.0,61057.0,
60 - 64 años,M,,18.0,26.0,31.0,39.0,52.0,56.0,65.0,78.0,83.0,91.0,107.0,110.0,115.0,126.0,145.0,155.0,171.0,182.0,190.0,201.0,214.0,224.0,239.0,258.0,270.0,274.0,282.0,290.0,305.0,314.0,327.0,337.0,346.0,359.0,377.0,434.0,480.0,550.0,621.0,716.0,840.0,1090.0,1305.0,1748.0,2079.0,2610.0,3053.0,3580.0,4084.0,4786.0,5378.0,6764.0,7494.0,8304.0,8618.0,9128.0,9647.0,9925.0,10193.0,10668.0,10858.0,11111.0,11297.0,11553.0,11746.0,11975.0,12163.0,12373.0,12558.0,12771.0,12975.0,13202.0,13397.0,13578.0,13754.0,13952.0,14107.0,14324.0,14512.0,14720.0,14720.0,15066.0,15210.0,15373.0,15511.0,15746.0,15838.0,15982.0,16125.0,16288.0,16423.0,16588.0,16730.0,16877.0,17010.0,17186.0,17340.0,17494.0,17670.0,17870.0,18037.0,18252.0,18458.0,18719.0,18921.0,19215.0,19451.0,19828.0,20171.0,20639.0,21024.0,21516.0,21907.0,22372.0,22738.0,23177.0,23521.0,23925.0,24256.0,24671.0,24989.0,25431.0,25817.0,26395.0,26849.0,27467.0,28019.0,28792.0,29365.0,30205.0,30815.0,31633.0,32281.0,33168.0,33788.0,34585.0,35100.0,35665.0,36087.0,36616.0,36977.0,37459.0,37817.0,38273.0,38679.0,39267.0,39703.0,40333.0,40829.0,41488.0,42040.0,42751.0,43278.0,43978.0,44464.0,44959.0,45344.0,45717.0,46019.0,
