Grupo de edad,Sexo,Etapa clinica,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-05-01,2020-05-02,2020-05-04,2020-05-06,2020-05-08,2020-05-11,2020-05-15,2020-05-18,2020-05-22,2020-05-25,2020-05-29,2020-06-01,2020-06-05,2020-06-08,2020-06-12,2020-06-15,2020-06-19,2020-06-23,2020-06-28,2020-07-01,2020-07-05,2020-07-10,2020-07-13,2020-07-17,2020-07-24,2020-07-27,2020-07-31,2020-08-03,2020-08-07,2020-08-10,2020-08-14,2020-08-17,2020-08-21,2020-08-24,2020-08-28,2020-08-31,2020-09-04,2020-09-07,2020-09-11,2020-09-14,2020-09-18,2020-09-21,2020-09-25,2020-09-28,2020-10-02,2020-10-05,2020-10-09,2020-10-12,2020-10-16,2020-10-19,2020-10-24,2020-10-26,2020-10-30,2020-11-02,2020-11-06,2020-11-09,2020-11-13,2020-11-16,2020-11-20,2020-11-23,2020-11-27,2020-11-30,2020-12-04,2020-12-07,2020-12-11,2020-12-14,2020-12-18,2020-12-21,2020-12-25,2020-12-28,2021-01-01,2021-01-04,2021-01-08,2021-01-11,2021-01-15,2021-01-18,2021-01-22,2021-01-25,2021-01-29,2021-02-01,2021-02-05,2021-02-08,2021-02-12,2021-02-15,2021-02-19,2021-02-22,2021-02-26,2021-03-01,2021-03-05,2021-03-08,2021-03-12,2021-03-15,2021-03-19,2021-03-22,2021-03-26,2021-03-29,2021-04-02,2021-04-05,2021-04-09,2021-04-12,2021-04-16,2021-04-19,2021-04-23,2021-04-26,2021-04-30,2021-05-03,2021-05-07,2021-05-10,2021-05-14,2021-05-17,2021-05-21,2021-05-24,2021-05-28,2021-05-31,2021-06-04,2021-06-07,2021-06-11,2021-06-14,2021-06-18,2021-06-21,2021-06-25,2021-06-28,2021-07-02,2021-07-05,2021-07-09
60 - 64 años,F,,27.0,34.0,38.0,47.0,50.0,53.0,61.0,70.0,78.0,90.0,99.0,105.0,113.0,124.0,138.0,148.0,155.0,166.0,175.0,188.0,199.0,211.0,220.0,234.0,245.0,251.0,257.0,265.0,273.0,287.0,292.0,297.0,304.0,317.0,328.0,365.0,394.0,439.0,480.0,555.0,650.0,867.0,1002.0,1371.0,1616.0,2025.0,2407.0,2815.0,3221.0,3799.0,4299.0,5626.0,6232.0,6861.0,7149.0,7632.0,8096.0,8376.0,8621.0,9062.0,9213.0,9423.0,9600.0,9865.0,10066.0,10299.0,10466.0,10674.0,10856.0,11058.0,11247.0,11490.0,11696.0,11894.0,12086.0,12305.0,12433.0,12653.0,12822.0,13035.0,13035.0,13373.0,13532.0,13673.0,13824.0,14087.0,14180.0,14332.0,14481.0,14639.0,14793.0,14971.0,15101.0,15264.0,15398.0,15593.0,15745.0,15925.0,16084.0,16269.0,16437.0,16685.0,16887.0,17148.0,17351.0,17691.0,17935.0,18361.0,18752.0,19229.0,19577.0,20104.0,20496.0,20982.0,21366.0,21781.0,22148.0,22562.0,22908.0,23299.0,23657.0,24106.0,24560.0,25136.0,25583.0,26277.0,26815.0,27590.0,28206.0,28989.0,29598.0,30423.0,31026.0,31913.0,32481.0,33249.0,33731.0,34270.0,34710.0,35258.0,35650.0,36159.0,36534.0,37045.0,37498.0,38136.0,38586.0,39295.0,39843.0,40593.0,41225.0,42001.0,42575.0,43276.0,43786.0,44343.0,44765.0,45174.0,45516.0,
65 - 69 años,F,,10.0,13.0,20.0,25.0,29.0,35.0,38.0,45.0,48.0,52.0,60.0,64.0,67.0,74.0,84.0,89.0,99.0,111.0,116.0,119.0,129.0,140.0,147.0,155.0,160.0,166.0,169.0,178.0,182.0,190.0,195.0,208.0,217.0,224.0,233.0,269.0,287.0,315.0,351.0,399.0,450.0,570.0,669.0,906.0,1087.0,1316.0,1547.0,1821.0,2094.0,2502.0,2807.0,3680.0,4074.0,4506.0,4704.0,5003.0,5308.0,5502.0,5706.0,6015.0,6133.0,6287.0,6394.0,6544.0,6676.0,6828.0,6964.0,7128.0,7268.0,7420.0,7541.0,7693.0,7818.0,7966.0,8084.0,8238.0,8328.0,8495.0,8613.0,8771.0,8771.0,9010.0,9116.0,9227.0,9343.0,9514.0,9573.0,9673.0,9782.0,9897.0,9995.0,10089.0,10194.0,10316.0,10413.0,10521.0,10631.0,10746.0,10833.0,10954.0,11067.0,11224.0,11347.0,11501.0,11617.0,11838.0,12013.0,12333.0,12582.0,12962.0,13246.0,13583.0,13866.0,14214.0,14450.0,14779.0,15052.0,15342.0,15590.0,15850.0,16085.0,16400.0,16673.0,17069.0,17385.0,17817.0,18173.0,18623.0,19017.0,19486.0,19846.0,20330.0,20650.0,21069.0,21366.0,21802.0,22128.0,22451.0,22748.0,23148.0,23423.0,23774.0,24043.0,24411.0,24727.0,25159.0,25467.0,25925.0,26320.0,26812.0,27248.0,27817.0,28247.0,28738.0,29093.0,29482.0,29784.0,30089.0,30324.0,
70 - 74 años,F,,7.0,11.0,13.0,16.0,20.0,22.0,25.0,32.0,33.0,43.0,50.0,56.0,58.0,60.0,69.0,74.0,82.0,87.0,94.0,95.0,100.0,110.0,118.0,127.0,133.0,137.0,141.0,143.0,145.0,149.0,153.0,157.0,169.0,173.0,187.0,220.0,229.0,256.0,274.0,300.0,340.0,446.0,509.0,672.0,785.0,965.0,1178.0,1406.0,1601.0,1908.0,2155.0,2813.0,3103.0,3428.0,3558.0,3772.0,4040.0,4173.0,4316.0,4533.0,4624.0,4738.0,4822.0,4943.0,5051.0,5176.0,5264.0,5361.0,5454.0,5552.0,5637.0,5756.0,5859.0,5988.0,6076.0,6173.0,6237.0,6339.0,6449.0,6563.0,6563.0,6731.0,6828.0,6893.0,7002.0,7121.0,7169.0,7241.0,7318.0,7419.0,7484.0,7554.0,7633.0,7712.0,7788.0,7867.0,7939.0,8033.0,8125.0,8223.0,8337.0,8457.0,8573.0,8708.0,8802.0,8964.0,9093.0,9274.0,9483.0,9741.0,9943.0,10201.0,10405.0,10695.0,10898.0,11116.0,11300.0,11519.0,11682.0,11886.0,12044.0,12289.0,12504.0,12778.0,13025.0,13345.0,13567.0,13885.0,14155.0,14456.0,14705.0,14988.0,15210.0,15514.0,15772.0,16075.0,16289.0,16469.0,16672.0,16931.0,17119.0,17329.0,17544.0,17804.0,18011.0,18323.0,18556.0,18875.0,19145.0,19519.0,19854.0,20247.0,20559.0,20919.0,21182.0,21448.0,21693.0,21903.0,22072.0,
75 - 79 años,F,,7.0,8.0,11.0,13.0,13.0,14.0,17.0,22.0,24.0,29.0,35.0,39.0,41.0,42.0,48.0,52.0,57.0,61.0,64.0,64.0,67.0,71.0,79.0,85.0,92.0,95.0,100.0,104.0,107.0,113.0,115.0,121.0,126.0,128.0,134.0,147.0,158.0,186.0,203.0,231.0,258.0,329.0,371.0,505.0,592.0,744.0,880.0,1039.0,1194.0,1415.0,1621.0,2122.0,2339.0,2575.0,2690.0,2858.0,3050.0,3153.0,3255.0,3452.0,3539.0,3630.0,3707.0,3800.0,3883.0,3984.0,4061.0,4142.0,4206.0,4303.0,4378.0,4468.0,4557.0,4635.0,4689.0,4763.0,4814.0,4914.0,4975.0,5063.0,5063.0,5219.0,5286.0,5349.0,5421.0,5512.0,5542.0,5607.0,5673.0,5747.0,5800.0,5866.0,5917.0,5967.0,6029.0,6086.0,6143.0,6211.0,6259.0,6324.0,6414.0,6507.0,6576.0,6656.0,6722.0,6843.0,6936.0,7077.0,7231.0,7429.0,7563.0,7754.0,7924.0,8132.0,8261.0,8432.0,8580.0,8731.0,8846.0,9003.0,9129.0,9302.0,9470.0,9692.0,9882.0,10098.0,10267.0,10494.0,10672.0,10876.0,11043.0,11261.0,11400.0,11631.0,11802.0,12045.0,12228.0,12361.0,12497.0,12710.0,12857.0,13023.0,13172.0,13358.0,13542.0,13745.0,13905.0,14126.0,14365.0,14636.0,14853.0,15134.0,15358.0,15605.0,15809.0,16027.0,16184.0,16344.0,16485.0,
80 y más años,F,,2.0,2.0,3.0,7.0,9.0,11.0,13.0,17.0,19.0,26.0,30.0,31.0,37.0,41.0,58.0,72.0,88.0,95.0,101.0,107.0,113.0,117.0,124.0,137.0,148.0,160.0,168.0,172.0,180.0,193.0,197.0,208.0,224.0,231.0,249.0,293.0,304.0,338.0,377.0,419.0,485.0,597.0,678.0,857.0,1011.0,1291.0,1525.0,1781.0,2054.0,2523.0,2846.0,3769.0,4191.0,4640.0,4819.0,5080.0,5441.0,5631.0,5837.0,6171.0,6324.0,6482.0,6583.0,6742.0,6858.0,7015.0,7122.0,7269.0,7375.0,7531.0,7632.0,7789.0,7925.0,8080.0,8208.0,8341.0,8440.0,8609.0,8729.0,8867.0,8867.0,9160.0,9237.0,9343.0,9447.0,9581.0,9628.0,9702.0,9812.0,9927.0,10017.0,10127.0,10227.0,10311.0,10397.0,10479.0,10573.0,10665.0,10759.0,10864.0,11022.0,11152.0,11262.0,11394.0,11484.0,11670.0,11818.0,12028.0,12238.0,12466.0,12663.0,12898.0,13120.0,13372.0,13594.0,13857.0,14049.0,14283.0,14476.0,14692.0,14855.0,15131.0,15417.0,15711.0,15963.0,16313.0,16622.0,16999.0,17302.0,17580.0,17829.0,18162.0,18410.0,18755.0,19000.0,19386.0,19660.0,19732.0,19932.0,20200.0,20448.0,20670.0,20871.0,21142.0,21392.0,21745.0,21985.0,22338.0,22622.0,23025.0,23359.0,23749.0,24050.0,24492.0,24772.0,25093.0,25367.0,25635.0,25858.0,
00 - 04 años,M,CONFIRMADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15291.0
05 - 09 años,M,CONFIRMADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17076.0
10 - 14 años,M,CONFIRMADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23919.0
15 - 19 años,M,CONFIRMADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38596.0
20 - 24 años,M,CONFIRMADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70238.0
25 - 29 años,M,CONFIRMADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94982.0
30 - 34 años,M,CONFIRMADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96610.0
35 - 39 años,M,CONFIRMADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79396.0
40 - 44 años,M,CONFIRMADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67194.0
45 - 49 años,M,CONFIRMADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64002.0
50 - 54 años,M,CONFIRMADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58996.0
55 - 59 años,M,CONFIRMADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55058.0
60 - 64 años,M,CONFIRMADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41604.0
65 - 69 años,M,CONFIRMADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27160.0
70 - 74 años,M,CONFIRMADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18959.0
75 - 79 años,M,CONFIRMADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13194.0
80 y más años,M,CONFIRMADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15193.0
00 - 04 años,F,CONFIRMADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13867.0
05 - 09 años,F,CONFIRMADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16326.0
