Sintomas,Hospitalización,2020-03-11,2020-03-14,2020-03-15,2020-03-16,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-06-12,2020-06-15,2020-06-19,2020-06-23,2020-06-28,2020-07-01,2020-07-05,2020-07-10,2020-07-13,2020-07-17,2020-07-24,2020-07-27,2020-07-31,2020-08-03,2020-08-07,2020-08-10,2020-08-14,2020-08-17,2020-08-21,2020-08-24,2020-08-28,2020-08-31,2020-09-04,2020-09-07,2020-09-11,2020-09-14,2020-09-18,2020-09-21,2020-09-25,2020-09-28,2020-10-02,2020-10-05,2020-10-09,2020-10-12,2020-10-16,2020-10-19,2020-10-24,2020-10-26,2020-10-30,2020-11-02,2020-11-06,2020-11-09,2020-11-13,2020-11-16,2020-11-20,2020-11-23,2020-11-27,2020-11-30,2020-12-04,2020-12-07,2020-12-11,2020-12-14,2020-12-18,2020-12-21,2020-12-25,2020-12-28,2021-01-01,2021-01-04,2021-01-08,2021-01-11,2021-01-15,2021-01-18,2021-01-22,2021-01-25,2021-01-29,2021-02-01,2021-02-05,2021-02-08,2021-02-12,2021-02-15,2021-02-19,2021-02-22,2021-02-26,2021-03-01,2021-03-05,2021-03-08,2021-03-12,2021-03-15,2021-03-19,2021-03-22,2021-03-26,2021-03-29,2021-04-02,2021-04-05,2021-04-09,2021-04-12,2021-04-16,2021-04-19,2021-04-23,2021-04-26,2021-04-30,2021-05-03,2021-05-07,2021-05-10,2021-05-14,2021-05-17,2021-05-21,2021-05-24,2021-05-28,2021-05-31,2021-06-04,2021-06-07,2021-06-11,2021-06-14,2021-06-18,2021-06-21,2021-06-25,2021-06-28,2021-07-02,2021-07-05,2021-07-09
Cefalea,NO,8,18,29,31,394,,578,671,836,945,1057,1232,1448,1557,1813,2031,2194,2310,2441,2603,2739,2876,2977,3040,87154.0,97888.0,130436.0,144757.0,159769.0,165852.0,175697.0,184812.0,190147.0,195376.0,202844.0,205907.0,209441.0,212058.0,216769.0,219278.0,222351.0,224474.0,227090.0,229975.0,233540.0,236348.0,240084.0,243002.0,246416.0,249380.0,252050.0,254189.0,257643.0,260629.0,264171.0,264171.0,269398.0,271812.0,274538.0,277060.0,280919.0,282424.0,285037.0,287324.0,289915.0,292219.0,295017.0,297350.0,300243.0,302560.0,305589.0,308431.0,311620.0,314220.0,317568.0,320825.0,324790.0,327848.0,331929.0,334940.0,340878.0,344864.0,352455.0,358568.0,366867.0,373320.0,382410.0,388741.0,396930.0,402835.0,409824.0,415194.0,422292.0,427642.0,434550.0,439888.0,449057.0,456276.0,467527.0,476432.0,490050.0,500196.0,515788.0,528126.0,544936.0,557620.0,575082.0,586750.0,599673.0,610834.0,628281.0,640286.0,656013.0,666679.0,681532.0,690852.0,703916.0,712966.0,726061.0,736339.0,751417.0,761596.0,778100.0,789772.0,806515.0,819116.0,834946.0,845807.0,859096.0,873425.0,877195.0,883853.0,890496.0,895341.0,900862
Tos,NO,11,25,38,43,597,,896,1030,1231,1359,1495,1714,1992,2136,2359,2621,2810,2976,3115,3274,3420,3548,3667,3750,83726.0,94246.0,124642.0,137903.0,151693.0,157279.0,166166.0,174011.0,178583.0,183196.0,189662.0,192243.0,195214.0,197480.0,201107.0,202620.0,204541.0,206025.0,207780.0,210025.0,212910.0,215208.0,218116.0,220450.0,223054.0,225376.0,227508.0,229324.0,231934.0,234249.0,237028.0,237028.0,241160.0,243028.0,245202.0,247286.0,250327.0,251443.0,253497.0,255323.0,257321.0,259180.0,261332.0,263122.0,265206.0,267003.0,269338.0,271541.0,274044.0,276044.0,278654.0,281181.0,284162.0,286433.0,289462.0,291899.0,296496.0,299470.0,305377.0,310020.0,316522.0,321509.0,328563.0,333368.0,339609.0,344132.0,349662.0,353868.0,359445.0,363497.0,368791.0,373074.0,379920.0,385171.0,393590.0,400225.0,410289.0,417922.0,429785.0,439234.0,452829.0,463147.0,477699.0,487497.0,496569.0,505598.0,520116.0,529566.0,542354.0,551038.0,563585.0,571169.0,582149.0,589690.0,601302.0,610238.0,623834.0,632874.0,648126.0,658715.0,674314.0,685967.0,700997.0,711335.0,724514.0,739720.0,742660.0,749465.0,756310.0,761395.0,767138
Mialgia,NO,6,19,28,34,452,,689,793,966,1064,1184,1349,1553,1656,1923,2143,2303,2438,2565,2706,2810,2934,3025,3082,83092.0,93630.0,124048.0,137349.0,151387.0,157108.0,166053.0,174173.0,178872.0,183569.0,190252.0,192923.0,196081.0,198351.0,202239.0,204006.0,206216.0,207828.0,209914.0,212288.0,215295.0,217685.0,220819.0,223197.0,225997.0,228460.0,230640.0,232536.0,235449.0,237936.0,240748.0,240748.0,245228.0,247283.0,249735.0,251952.0,255260.0,256504.0,258798.0,260760.0,263052.0,265042.0,267484.0,269476.0,271952.0,273950.0,276618.0,278996.0,281747.0,283940.0,286899.0,289729.0,293151.0,295799.0,299296.0,301864.0,307225.0,310840.0,317719.0,323068.0,330467.0,336174.0,344259.0,349741.0,356930.0,362085.0,368380.0,373085.0,379335.0,383988.0,390133.0,394878.0,402919.0,409146.0,418938.0,426656.0,438588.0,447417.0,461165.0,472026.0,487129.0,497241.0,510773.0,520108.0,528598.0,537123.0,550562.0,559745.0,571947.0,580174.0,591666.0,598894.0,609034.0,616113.0,626308.0,634217.0,646159.0,654013.0,666774.0,675782.0,688899.0,698643.0,710732.0,719183.0,729492.0,741508.0,743022.0,747999.0,753014.0,756644.0,760638
Fiebre,NO,9,21,30,35,496,,738,866,1053,1148,1257,1440,1657,1757,2007,2199,2347,2478,2603,2728,2818,2925,2990,3041,61082.0,67976.0,84973.0,92704.0,100374.0,103604.0,108473.0,112884.0,115332.0,117889.0,121559.0,122994.0,124709.0,125961.0,127978.0,128539.0,129465.0,130095.0,130762.0,131873.0,133361.0,134473.0,136051.0,137201.0,138532.0,139728.0,140870.0,141920.0,143402.0,144706.0,146151.0,146151.0,148404.0,149464.0,150815.0,152028.0,153731.0,154405.0,155613.0,156701.0,157925.0,158997.0,160311.0,161421.0,162712.0,163761.0,165197.0,166573.0,168191.0,169360.0,170989.0,172501.0,174287.0,175697.0,177534.0,179040.0,182073.0,184084.0,187831.0,190661.0,194734.0,197755.0,202337.0,205354.0,209201.0,212021.0,215374.0,217926.0,221408.0,223981.0,227367.0,229908.0,234223.0,237398.0,242707.0,246946.0,253384.0,257990.0,265088.0,270791.0,279245.0,285544.0,294499.0,300346.0,304653.0,309510.0,317665.0,323130.0,330657.0,335342.0,342414.0,346471.0,352533.0,356682.0,362651.0,367136.0,374223.0,378946.0,386462.0,391746.0,399523.0,405637.0,412822.0,417452.0,423272.0,431374.0,431209.0,434043.0,436755.0,438683.0,440804
Odinofagia,NO,7,20,27,33,407,,575,663,768,843,927,1047,1191,1275,1476,1623,1733,1823,1903,1999,2090,2170,2241,2287,50081.0,55893.0,73432.0,81315.0,89124.0,92404.0,97597.0,102448.0,105254.0,108064.0,112279.0,113994.0,115922.0,117404.0,120014.0,121484.0,123380.0,124690.0,126299.0,127920.0,130035.0,131683.0,133840.0,135534.0,137489.0,139166.0,140586.0,141882.0,143952.0,145677.0,147757.0,147757.0,150830.0,152284.0,153988.0,155537.0,157752.0,158665.0,160352.0,161726.0,163229.0,164599.0,166242.0,167614.0,169265.0,170570.0,172313.0,173926.0,175817.0,177347.0,179367.0,181381.0,183921.0,185872.0,188373.0,190278.0,193999.0,196421.0,201004.0,204888.0,209916.0,213892.0,219504.0,223268.0,228140.0,231600.0,235756.0,238870.0,243016.0,246064.0,249995.0,253159.0,258616.0,263085.0,269865.0,275194.0,283229.0,289552.0,298851.0,306130.0,316213.0,324098.0,334590.0,341722.0,349455.0,356000.0,366452.0,373467.0,382594.0,388674.0,397368.0,402786.0,410331.0,415617.0,423265.0,429320.0,438528.0,444822.0,454765.0,461939.0,472595.0,480379.0,490681.0,497658.0,506274.0,515112.0,517603.0,521815.0,526011.0,529052.0,532519
Anosmia,NO,,,,,,,,,,,,,,,,,,,,,,,,,24235.0,28087.0,38109.0,42741.0,47962.0,50159.0,53589.0,56837.0,58809.0,60617.0,63190.0,64216.0,65391.0,66278.0,67741.0,68628.0,69739.0,70556.0,71540.0,72405.0,73504.0,74273.0,75378.0,76253.0,77270.0,78083.0,79249.0,80000.0,81107.0,81935.0,83145.0,83145.0,85001.0,85748.0,86715.0,87518.0,88761.0,89233.0,90150.0,90843.0,91707.0,92402.0,93320.0,94020.0,94916.0,95544.0,96502.0,97271.0,98235.0,98929.0,99984.0,100971.0,102303.0,103238.0,104536.0,105447.0,107426.0,108593.0,111329.0,113304.0,116253.0,118359.0,121535.0,123701.0,126646.0,128665.0,130956.0,132707.0,135133.0,136821.0,139261.0,140932.0,143498.0,145237.0,148236.0,150417.0,153823.0,156195.0,159867.0,162496.0,166525.0,169355.0,173742.0,176351.0,180106.0,183014.0,187387.0,190225.0,194160.0,196637.0,200504.0,202704.0,206013.0,208102.0,211370.0,213653.0,217276.0,219642.0,224017.0,227002.0,231525.0,235214.0,239754.0,242575.0,246424.0,249821.0,252215.0,254245.0,256438.0,257984.0,259743
Ageusia,NO,,,,,,,,,,,,,,,,,,,,,,,,,18803.0,21841.0,29971.0,33609.0,37750.0,39509.0,42318.0,44984.0,46592.0,48015.0,50112.0,50921.0,51857.0,52557.0,53759.0,54416.0,55331.0,55913.0,56656.0,57332.0,58218.0,58843.0,59734.0,60394.0,61206.0,61846.0,62788.0,63381.0,64245.0,64945.0,65876.0,65876.0,67347.0,67969.0,68740.0,69391.0,70358.0,70729.0,71440.0,72005.0,72729.0,73252.0,73978.0,74532.0,75250.0,75729.0,76465.0,77075.0,77831.0,78372.0,79185.0,79962.0,80999.0,81699.0,82701.0,83372.0,84875.0,85782.0,87896.0,89477.0,91763.0,93450.0,95922.0,97594.0,99920.0,101481.0,103226.0,104592.0,106442.0,107741.0,109638.0,110911.0,112967.0,114319.0,116621.0,118317.0,121005.0,122867.0,125771.0,127761.0,130866.0,133041.0,136539.0,138624.0,141604.0,143868.0,147361.0,149662.0,152787.0,154751.0,157872.0,159644.0,162371.0,164052.0,166664.0,168553.0,171336.0,173294.0,176791.0,179187.0,182820.0,185769.0,189348.0,191571.0,194680.0,197445.0,199242.0,200839.0,202559.0,203753.0,205061
Disnea,NO,2,3,6,7,78,,139,171,217,247,297,353,426,465,559,639,704,753,794,839,861,911,935,953,15766.0,17994.0,24607.0,27654.0,30639.0,31978.0,33833.0,35565.0,36522.0,37543.0,38835.0,39297.0,39853.0,40249.0,40750.0,40713.0,40588.0,40736.0,40757.0,41079.0,41436.0,41734.0,42101.0,42348.0,42636.0,42954.0,43037.0,43317.0,43515.0,43777.0,44129.0,44129.0,44583.0,44795.0,45048.0,45308.0,45686.0,45831.0,46088.0,46339.0,46590.0,46837.0,47142.0,47370.0,47625.0,47851.0,48193.0,48484.0,48810.0,49040.0,49362.0,49739.0,50062.0,50297.0,50573.0,50899.0,51492.0,51927.0,52755.0,53318.0,54220.0,54873.0,55863.0,56543.0,57447.0,58179.0,58997.0,59679.0,60488.0,61062.0,61837.0,62401.0,63403.0,64114.0,65284.0,66163.0,67479.0,68493.0,69921.0,71154.0,72957.0,74203.0,76171.0,77408.0,77314.0,78292.0,80144.0,81279.0,82602.0,83545.0,85117.0,85910.0,87141.0,87971.0,89342.0,90257.0,91671.0,92714.0,94455.0,95606.0,97367.0,98554.0,100259.0,101349.0,102821.0,105927.0,104738.0,105437.0,106226.0,106736.0,107396
Diarrea,NO,-,-,-,-,-,,55,73,105,121,142,172,207,237,281,322,356,368,397,428,450,482,502,511,13609.0,15338.0,21222.0,23747.0,26539.0,27708.0,29777.0,31613.0,32570.0,33528.0,34821.0,35400.0,35999.0,36484.0,37434.0,37904.0,38428.0,38822.0,39248.0,39736.0,40397.0,40842.0,41479.0,41955.0,42504.0,43010.0,43518.0,43930.0,44491.0,45052.0,45696.0,45696.0,46595.0,46949.0,47452.0,47899.0,48616.0,48859.0,49376.0,49770.0,50224.0,50678.0,51217.0,51658.0,52226.0,52662.0,53296.0,53799.0,54386.0,54877.0,55454.0,56027.0,56797.0,57373.0,58114.0,58653.0,59807.0,60523.0,62142.0,63448.0,65128.0,66387.0,68203.0,69524.0,71286.0,72565.0,74086.0,75203.0,76746.0,77857.0,79333.0,80505.0,82478.0,83981.0,86402.0,88265.0,91211.0,93302.0,96576.0,99030.0,102254.0,104892.0,108409.0,110724.0,113221.0,115233.0,118472.0,120692.0,123499.0,125244.0,127784.0,129324.0,131501.0,132947.0,135078.0,136665.0,139082.0,140590.0,143188.0,144903.0,147461.0,149153.0,151650.0,153241.0,155325.0,157762.0,157988.0,159013.0,159977.0,160707.0,161542
Dolor torácico,NO,5,6,7,7,41,,64,77,93,109,123,140,172,189,231,264,302,333,353,377,392,405,424,432,11988.0,13718.0,19516.0,21982.0,24463.0,25530.0,27176.0,28689.0,29517.0,30311.0,31369.0,31785.0,32231.0,32570.0,33082.0,33309.0,33549.0,33700.0,33814.0,34133.0,34473.0,34758.0,35137.0,35426.0,35734.0,36047.0,36180.0,36413.0,36671.0,36940.0,37241.0,37241.0,37689.0,37877.0,38092.0,38292.0,38680.0,38808.0,39036.0,39271.0,39492.0,39678.0,39920.0,40110.0,40380.0,40584.0,40867.0,41102.0,41391.0,41608.0,41903.0,42197.0,42513.0,42757.0,43023.0,43310.0,43817.0,44192.0,44842.0,45302.0,46072.0,46666.0,47464.0,48046.0,48816.0,49392.0,50060.0,50590.0,51328.0,51828.0,52449.0,52990.0,53855.0,54471.0,55428.0,56236.0,57415.0,58285.0,59610.0,60754.0,62275.0,63484.0,65207.0,66446.0,67465.0,68594.0,70458.0,71636.0,73275.0,74362.0,75966.0,76903.0,78288.0,79228.0,80559.0,81564.0,83171.0,84266.0,86082.0,87265.0,89119.0,90374.0,92110.0,93300.0,94712.0,96708.0,96661.0,97390.0,98156.0,98688.0,99330
Dolor abdominal,NO,-,-,-,-,16,,26,33,47,50,60,73,92,102,131,154,179,190,198,220,227,248,257,260,8105.0,9117.0,12594.0,14121.0,15692.0,16406.0,17502.0,18601.0,19172.0,19769.0,20577.0,20911.0,21278.0,21570.0,22136.0,22379.0,22727.0,22961.0,23266.0,23545.0,23955.0,24227.0,24667.0,24978.0,25336.0,25619.0,25836.0,26085.0,26461.0,26756.0,27137.0,27137.0,27632.0,27867.0,28164.0,28430.0,28839.0,29000.0,29310.0,29554.0,29851.0,30107.0,30410.0,30696.0,31061.0,31317.0,31676.0,31963.0,32326.0,32597.0,32971.0,33320.0,33699.0,34009.0,34451.0,34761.0,35391.0,35800.0,36723.0,37332.0,38299.0,38979.0,39971.0,40660.0,41667.0,42351.0,43259.0,43881.0,44732.0,45367.0,46194.0,46909.0,47997.0,48930.0,50233.0,51298.0,52893.0,54038.0,55894.0,57261.0,58972.0,57887.0,57538.0,57364.0,56574.0,56421.0,56274.0,56240.0,56080.0,56028.0,55860.0,55809.0,55722.0,55681.0,55603.0,55587.0,55444.0,55366.0,55286.0,55248.0,55135.0,54833.0,54735.0,54662.0,54574.0,54643.0,54185.0,54113.0,53989.0,53881.0,53755
